year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2022,常规批第2次,普通类,A010,北京化工大学,1A,工科试验班(绿色化工与生物医药)（化学工程与工艺、能源化学工程、环境工程、生物工程、生物医学工程、制药工程）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,5000
2022,常规批第2次,普通类,A099,唐山师范学院,14,地理科学(师范类)（退档后缺额计划）（不招色盲考生）,物理或化学或地理,,4,1,4900
2022,常规批第2次,普通类,A114,山西医科大学,14,临床药学（退档后缺额计划）（不招色盲、色弱考生）,化学和生物,,5,1,5600
2022,常规批第2次,普通类,A114,山西医科大学,59,护理学（就读于汾阳学院）（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,1,5400
2022,常规批第2次,普通类,A136,内蒙古民族大学,84,化学(师范类)（退档后缺额计划）（不招色盲、色弱考生）,化学,,4,1,4600
2022,常规批第2次,普通类,A201,北华大学,X2,国际经济与贸易（退档后缺额计划）,不限,,4,1,4620
2022,常规批第2次,普通类,A216,燕山大学,G1,金属材料工程（燕山大学与英国拉夫堡大学学生交流计划。外语成绩不低于110分；外语教学为英语。采取2+2模式（国内两年，英国两年），四年均须向燕山大学缴付相应普通类本科生学费；第三、第四年须向拉夫堡大学缴纳约1.9万英镑/年的学费。）,物理,,4,2,5390
2022,常规批第2次,普通类,A315,南京中医药大学,1A,临床医学（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,5,1,6800
2022,常规批第2次,普通类,A399,泉州师范学院,22,人文地理与城乡规划（退档后缺额计划）（不招色盲、色弱考生）,地理,,4,1,5040
2022,常规批第2次,普通类,A402,闽南师范大学,54,心理学(师范类)（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,1,5460
2022,常规批第2次,普通类,A427,济南大学,2Z,环境工程(中外合作办学)（与英国格拉斯哥加利多尼亚大学合作）（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,30000
2022,常规批第2次,普通类,A430,山东建筑大学,1E,土木工程（退档后缺额计划）（不招色盲、色弱考生）,物理,,4,1,
2022,常规批第2次,普通类,A438,潍坊医学院,09,护理学（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,1,5900
2022,常规批第2次,普通类,A438,潍坊医学院,0K,临床医学（退档后缺额计划）（不招色盲、色弱考生）,化学和生物,,5,1,6200
2022,常规批第2次,普通类,A440,滨州医学院,02,护理学（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,2,
2022,常规批第2次,普通类,A440,滨州医学院,17,生物制药（退档后缺额计划）（不招色盲、色弱考生）,生物,,4,1,
