year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2024,常规批第2次,普通类,D359,烟台理工学院,29,自动化,物理和化学,,4,28,21800
2024,常规批第2次,普通类,D359,烟台理工学院,30,人工智能,物理和化学,,4,48,21800
2024,常规批第2次,普通类,D359,烟台理工学院,31,机器人工程,物理和化学,,4,42,21800
2024,常规批第2次,普通类,D359,烟台理工学院,32,数据科学与大数据技术,物理和化学,,4,66,26800
2024,常规批第2次,普通类,D359,烟台理工学院,33,药学,物理和化学,,4,47,21800
2024,常规批第2次,普通类,D359,烟台理工学院,34,生物工程,物理和化学,,4,47,21800
2024,常规批第2次,普通类,D359,烟台理工学院,35,食品科学与工程,物理和化学,,4,41,21800
2024,常规批第2次,普通类,D359,烟台理工学院,36,食品质量与安全,物理和化学,,4,37,21800
2024,常规批第2次,普通类,D359,烟台理工学院,G1,机械设计制造及其自动化(中外合作办学)（与德国公立梅泽堡应用技术大学合作举办，3年+1年双学位联合培养，在德国规定学制内免学费，详见学校官网）,物理和化学,,4,30,36800
2024,常规批第2次,普通类,D378,青岛城市学院,01,土木工程,物理和化学,,4,42,24800
2024,常规批第2次,普通类,D378,青岛城市学院,02,智能建造,物理和化学,,4,48,24800
2024,常规批第2次,普通类,D378,青岛城市学院,05,机械设计制造及其自动化,物理和化学,,4,46,24800
2024,常规批第2次,普通类,D378,青岛城市学院,06,电气工程及其自动化,物理和化学,,4,49,24800
2024,常规批第2次,普通类,D378,青岛城市学院,07,机器人工程,物理和化学,,4,51,24800
2024,常规批第2次,普通类,D378,青岛城市学院,10,计算机科学与技术,物理和化学,,4,33,24800
2024,常规批第2次,普通类,D378,青岛城市学院,11,软件工程,物理和化学,,4,68,24800
2024,常规批第2次,普通类,D378,青岛城市学院,12,网络工程,物理和化学,,4,28,24800
2024,常规批第2次,普通类,D378,青岛城市学院,13,物联网工程,物理和化学,,4,68,24800
2024,常规批第2次,普通类,D378,青岛城市学院,14,数据科学与大数据技术,物理和化学,,4,52,24800
