year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2023,常规批第2次,普通类,A010,北京化工大学,14,生物工程(中外合作办学)(中美双学位、生物过程工程)（较高收费专业，合作方：美国纽约州立大学环境科学与林业学院，高考文化成绩须不低于特殊类型招生控制线）（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,50000
2023,常规批第2次,普通类,A019,中国农业大学,33,水产养殖学（新生到北京报到，集体安排在双清路1号住宿。在北京完成第一年学习后，从第二年起到我校烟台研究院进行教学和实习至毕业。不得转入此类型以外专业）（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,3000
2023,常规批第2次,普通类,A081,华北理工大学,11,过程装备与控制工程（退档后缺额计划）（不招色盲、色弱考生）,物理,,4,1,4900
2023,常规批第2次,普通类,A110,中北大学,09,过程装备与控制工程（退档后缺额计划）（不招色盲、色弱考生）,物理,,4,1,5500
2023,常规批第2次,普通类,A128,内蒙古工业大学,19,安全工程（退档后缺额计划）（不招色盲、色弱考生）,物理和化学,,4,1,4600
2023,常规批第2次,普通类,A129,内蒙古农业大学,C2,制药工程（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,4600
2023,常规批第2次,普通类,A172,大连外国语大学,0G,阿拉伯语（须口试）,不限,,4,1,8000
2023,常规批第2次,普通类,A203,吉林师范大学,45,德语（外语语种为英语）,不限,,4,1,4600
2023,常规批第2次,普通类,A205,长春师范大学,1D,俄语(师范类)（只招收英语语种考生，要求英语成绩不低于105分。中工校区）,不限,,4,2,5060
2023,常规批第2次,普通类,A212,黑龙江大学,89,生物技术（中俄学院授课，俄语课程四年不断线，部分专业课程由俄罗斯新西伯利亚国立大学教师用俄语讲授）（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,6000
2023,常规批第2次,普通类,A225,东北林业大学,24,生物科学类（生物科学(国家理科基础科学研究和教学人才培养基地)、生物技术(国家生命科学与技术人才培养基地)、生物技术）（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,5400
2023,常规批第2次,普通类,A292,常州大学,H2,消防工程（退档后缺额计划）（不招色盲、色弱考生）,化学,,4,1,5800
2023,常规批第2次,普通类,A338,浙江理工大学,06,轻化工程（退档后缺额计划）（不招色盲、色弱考生）,物理或化学,,4,1,6000
2023,常规批第2次,普通类,A344,浙江中医药大学,32,生物技术（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,5300
2023,常规批第2次,普通类,A405,东华理工大学,1J,英语(外贸方向)（外语语种为英语，抚州校区就读）,不限,,4,2,4660
2023,常规批第2次,普通类,A407,江西理工大学,K1,日语（外语语种为英语）,不限,,4,3,4660
2023,常规批第2次,普通类,A421,江西财经大学,66,汉语国际教育(商务方向),不限,,4,1,4380
2023,常规批第2次,普通类,A429,青岛理工大学,XV,房地产开发与管理(地方专项计划),物理,,4,1,5500
2023,常规批第2次,普通类,A440,滨州医学院,1F,预防医学（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,5,1,7590
2023,常规批第2次,普通类,A440,滨州医学院,1Q,口腔医学技术（退档后缺额计划）（不招色盲、色弱考生）,物理或化学,,4,1,7590
2023,常规批第2次,普通类,A440,滨州医学院,1S,护理学（滨州校区）（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,1,7920
2023,常规批第2次,普通类,A441,山东中医药大学,17,应用心理学（退档后缺额计划）（不招色盲、色弱考生）,不限,,4,1,6300
2023,常规批第2次,普通类,A441,山东中医药大学,21,生物医学工程（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,6300
2023,常规批第2次,普通类,A441,山东中医药大学,33,智能医学工程（退档后缺额计划）（不招色盲、色弱考生）,物理,,4,1,6600
2023,常规批第2次,普通类,A443,济宁医学院,06,预防医学（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,5,1,7500
2023,常规批第2次,普通类,A443,济宁医学院,15,康复治疗学（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,7500
2023,常规批第2次,普通类,A443,济宁医学院,17,卫生检验与检疫（退档后缺额计划）（不招色盲、色弱考生）,物理或化学或生物,,4,1,7500
2023,常规批第2次,普通类,A446,曲阜师范大学,1V,新闻学（日照校区）（退档后缺额计划）,不限,,4,1,5280
