year,batch,category,school_code,school_name,major_code,major_name,subject_requirement,level,study_years,plan_count,annual_fee
2021,常规批第2次,普通类,A059,中国民航大学,01,工科试验班(中欧航空工程师)（(航空航天类(中外合作办学))(高考投档成绩须超过特殊类型招生录取控制分数线70分（含）以上方可报考，每眼裸眼视力不低于4.0，不招色弱、色盲。)）,物理,,4,9,5800
2021,常规批第2次,普通类,A059,中国民航大学,0L,交通运输(空中交通管制)（只招男生；矫正远视力不低于4.8且矫正度数不超过400度；不招色弱、色盲。）,物理,,4,1,5800
2021,常规批第2次,普通类,A105,沧州师范学院,52,环境工程(新增计划）,物理或化学或生物,,4,1,4900
2021,常规批第2次,普通类,A107,石家庄铁道大学,0D,交通运输类（交通工程、交通运输）(新增计划）,物理,,4,3,5390
2021,常规批第2次,普通类,A142,沈阳工业大学,C3,生物医学工程（不招色盲色弱）,物理或化学或生物,,4,1,5200
2021,常规批第2次,普通类,A167,渤海大学,12,化学(师范类)（不招色盲色弱）,物理或化学,,4,1,5200
2021,常规批第2次,普通类,A184,延边大学,38,高分子材料与工程（不招色盲色弱）,化学,,4,1,3850
2021,常规批第2次,普通类,A216,燕山大学,B5,化学工程与工艺（相关课程英语授课，外语单科成绩不低于110分。采取1+3模式（国内一年，波兰三年），国内学费5390元/年；国外学费8000欧元/年）,物理或化学,,4,1,5390
2021,常规批第2次,普通类,A316,中国药科大学,15,中药学类（(中药学、中药资源与开发、中药制药)，不招色盲色弱，高考文化成绩不低于593分。）(新增计划）,物理或化学或生物,,4,2,7480
2021,常规批第2次,普通类,A357,安徽大学,0J,应用物理学(中外合作办学)（因部分课程使用英文原版教材和外籍教师全英文授课，高考英语单科分数不得低于110分，非英语语种考生慎报。不招色盲色弱。）,物理,,4,1,50000
2021,常规批第2次,普通类,A361,安徽理工大学,1P,资源勘查工程,物理,,4,2,
2021,常规批第2次,普通类,A385,华侨大学,23,化工与制药类（化学工程与工艺、制药工程，厦门校区，不招色盲色弱。）,物理或化学或生物,,4,1,5460
2021,常规批第2次,普通类,A389,福建农林大学,38,蜂学（不招色盲色弱）,物理或化学或生物,,4,1,5460
2021,常规批第2次,普通类,A410,江西农业大学,C3,动物医学（不招色盲色弱）,化学或生物,,5,1,4090
2021,常规批第2次,普通类,A433,山东理工大学,59,工商管理(新增计划）,不限,,4,11,
2021,常规批第2次,普通类,A433,山东理工大学,74,法学(新增计划）,不限,,4,11,
