year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2024,696,5,50,5,50,5,50,,,,,,,,
2024,695,11,61,11,61,11,61,11,59,,,,,,
2024,694,18,79,18,79,18,79,17,76,,,,,,
2024,693,25,104,25,104,25,104,24,100,,,,,,
2024,692,10,114,10,114,10,114,10,110,,,,,,
2024,691,19,133,19,133,19,133,19,129,,,,,,
2024,690,19,152,19,152,19,152,19,148,,,,,,
2024,689,14,166,14,166,14,166,10,158,,,,,,
2024,688,16,182,16,182,16,182,16,174,,,,,,
2024,687,27,209,27,209,26,208,26,200,,,,,,
2024,686,19,228,19,228,19,227,19,219,,,,,,
2024,685,25,253,24,252,24,251,22,241,,,,,,
2024,684,19,272,19,271,19,270,18,259,,,,,,
2024,683,24,296,23,294,23,293,23,282,,,,,,
2024,682,28,324,28,322,28,321,27,309,,,,,,
2024,681,38,362,37,359,37,358,38,347,,,,,,
2024,680,36,398,36,395,36,394,34,381,,,,,,
2024,679,40,438,40,435,40,434,38,419,,,,,,
2024,678,44,482,44,479,44,478,43,462,,,,,,
2024,677,41,523,41,520,41,519,36,498,,,,,,
2024,676,48,571,46,566,46,565,44,542,,,,,,
2024,675,49,620,49,615,49,614,46,588,,,,,,
2024,674,62,682,58,673,59,673,57,645,,,,,,
2024,673,62,744,59,732,59,732,55,700,,,,,4,31
2024,672,74,818,71,803,71,803,69,769,,,,,3,34
2024,671,54,872,52,855,52,855,47,816,,,,,5,39
2024,670,72,944,71,926,71,926,65,881,4,32,,,4,43
2024,669,84,1028,82,1008,82,1008,78,959,3,35,,,5,48
2024,668,70,1098,65,1073,64,1072,61,1020,7,42,5,31,8,56
2024,667,74,1172,72,1145,71,1143,71,1091,4,46,3,34,1,57
2024,666,70,1242,68,1213,68,1211,60,1151,4,50,4,38,6,63
2024,665,88,1330,82,1295,82,1293,76,1227,7,57,5,43,12,75
2024,664,97,1427,92,1387,92,1385,84,1311,8,65,7,50,8,83
2024,663,107,1534,105,1492,105,1490,101,1412,6,71,1,51,3,86
2024,662,115,1649,108,1600,109,1599,101,1513,9,80,7,58,11,97
2024,661,103,1752,98,1698,98,1697,91,1604,8,88,6,64,8,105
2024,660,131,1883,119,1817,119,1816,111,1715,13,101,12,76,19,124
2024,659,114,1997,106,1923,105,1921,97,1812,10,111,10,86,14,138
2024,658,136,2133,126,2049,125,2046,111,1923,13,124,14,100,19,157
2024,657,157,2290,144,2193,144,2190,132,2055,19,143,12,112,20,177
2024,656,150,2440,135,2328,135,2325,121,2176,18,161,16,128,25,202
2024,655,138,2578,123,2451,123,2448,106,2282,21,182,19,147,22,224
2024,654,155,2733,135,2586,135,2583,129,2411,24,206,20,167,22,246
2024,653,147,2880,129,2715,132,2715,124,2535,17,223,18,185,21,267
2024,652,164,3044,153,2868,153,2868,133,2668,20,243,14,199,19,286
2024,651,177,3221,162,3030,162,3030,141,2809,23,266,17,216,26,312
2024,650,165,3386,145,3175,145,3175,135,2944,24,290,21,237,25,337
2024,649,179,3565,165,3340,163,3338,150,3094,18,308,17,254,24,361
2024,648,161,3726,145,3485,146,3484,141,3235,17,325,16,270,18,379
2024,647,191,3917,171,3656,172,3656,155,3390,25,350,21,291,29,408
2024,646,201,4118,181,3837,180,3836,166,3556,23,373,21,312,32,440
2024,645,195,4313,159,3996,159,3995,141,3697,42,415,38,350,46,486
2024,644,201,4514,176,4172,174,4169,160,3857,32,447,28,378,33,519
2024,643,231,4745,212,4384,213,4382,183,4040,27,474,23,401,35,554
2024,642,212,4957,195,4579,192,4574,175,4215,24,498,20,421,30,584
2024,641,241,5198,207,4786,207,4781,183,4398,44,542,36,457,46,630
2024,640,231,5429,201,4987,199,4980,176,4574,37,579,31,488,49,679
2024,639,265,5694,228,5215,229,5209,200,4774,49,628,38,526,51,730
2024,638,273,5967,245,5460,243,5452,223,4997,37,665,28,554,43,773
2024,637,254,6221,218,5678,218,5670,185,5182,51,716,39,593,51,824
2024,636,255,6476,208,5886,208,5878,192,5374,53,769,49,642,55,879
2024,635,293,6769,235,6121,233,6111,211,5585,70,839,60,702,70,949
2024,634,294,7063,248,6369,251,6362,227,5812,55,894,48,750,53,1002
2024,633,278,7341,244,6613,242,6604,221,6033,38,932,39,789,50,1052
2024,632,290,7631,246,6859,245,6849,206,6239,63,995,50,839,60,1112
2024,631,294,7925,249,7108,250,7099,217,6456,55,1050,48,887,63,1175
2024,630,332,8257,283,7391,285,7384,238,6694,56,1106,55,942,79,1254
2024,629,316,8573,272,7663,277,7661,237,6931,55,1161,45,987,62,1316
2024,628,287,8860,231,7894,230,7891,193,7124,72,1233,58,1045,77,1393
2024,627,347,9207,289,8183,288,8179,258,7382,71,1304,62,1107,73,1466
2024,626,365,9572,303,8486,306,8485,267,7649,68,1372,61,1168,90,1556
2024,625,364,9936,303,8789,307,8792,254,7903,76,1448,62,1230,90,1646
2024,624,359,10295,282,9071,285,9077,241,8144,95,1543,83,1313,91,1737
2024,623,391,10686,323,9394,325,9402,284,8428,86,1629,72,1385,83,1820
2024,622,387,11073,312,9706,311,9713,264,8692,85,1714,74,1459,115,1935
2024,621,396,11469,323,10029,319,10032,283,8975,92,1806,72,1531,99,2034
2024,620,406,11875,322,10351,323,10355,277,9252,107,1913,85,1616,104,2138
2024,619,440,12315,352,10703,352,10707,304,9556,107,2020,85,1701,120,2258
2024,618,437,12752,343,11046,335,11042,300,9856,109,2129,95,1796,129,2387
2024,617,430,13182,342,11388,342,11384,295,10151,109,2238,89,1885,113,2500
2024,616,421,13603,325,11713,325,11709,291,10442,117,2355,95,1980,110,2610
2024,615,492,14095,382,12095,383,12092,327,10769,129,2484,112,2092,143,2753
2024,614,474,14569,367,12462,363,12455,330,11099,120,2604,107,2199,135,2888
2024,613,431,15000,320,12782,317,12772,285,11384,122,2726,111,2310,138,3026
2024,612,500,15500,379,13161,376,13148,322,11706,142,2868,124,2434,157,3183
2024,611,513,16013,398,13559,399,13547,323,12029,134,3002,122,2556,163,3346
2024,610,502,16515,392,13951,395,13942,333,12362,140,3142,108,2664,138,3484
2024,609,540,17055,407,14358,408,14350,350,12712,163,3305,130,2794,162,3646
2024,608,550,17605,425,14783,420,14770,365,13077,155,3460,123,2917,162,3808
2024,607,553,18158,418,15201,415,15185,342,13419,166,3626,137,3054,181,3989
2024,606,555,18713,423,15624,419,15604,379,13798,150,3776,130,3184,164,4153
2024,605,576,19289,432,16056,431,16035,354,14152,164,3940,151,3335,196,4349
2024,604,656,19945,494,16550,493,16528,409,14561,197,4137,166,3501,209,4558
2024,603,623,20568,480,17030,478,17006,400,14961,174,4311,141,3642,196,4754
2024,602,631,21199,484,17514,485,17491,394,15355,180,4491,147,3789,203,4957
2024,601,659,21858,486,18000,488,17979,411,15766,202,4693,171,3960,219,5176
2024,600,690,22548,499,18499,492,18471,433,16199,214,4907,194,4154,238,5414
2024,599,653,23201,470,18969,466,18937,385,16584,221,5128,190,4344,227,5641
2024,598,688,23889,530,19499,520,19457,439,17023,198,5326,160,4504,217,5858
2024,597,706,24595,516,20015,506,19963,427,17450,223,5549,196,4700,250,6108
2024,596,705,25300,511,20526,509,20472,426,17876,232,5781,197,4897,240,6348
2024,595,745,26045,558,21084,546,21018,459,18335,220,6001,189,5086,263,6611
2024,594,733,26778,535,21619,533,21551,454,18789,242,6243,195,5281,240,6851
2024,593,749,27527,545,22164,540,22091,440,19229,265,6508,203,5484,254,7105
2024,592,812,28339,599,22763,596,22687,478,19707,277,6785,203,5687,283,7388
2024,591,810,29149,592,23355,580,23267,470,20177,260,7045,231,5918,297,7685
2024,590,782,29931,554,23909,556,23823,435,20612,279,7324,227,6145,295,7980
2024,589,793,30724,572,24481,569,24392,466,21078,262,7586,218,6363,292,8272
2024,588,791,31515,604,25085,599,24991,474,21552,243,7829,193,6556,260,8532
2024,587,867,32382,609,25694,596,25587,519,22071,304,8133,255,6811,318,8850
2024,586,845,33227,615,26309,603,26190,485,22556,284,8417,234,7045,314,9164
2024,585,889,34116,622,26931,609,26799,510,23066,305,8722,258,7303,363,9527
2024,584,883,34999,608,27539,606,27405,473,23539,331,9053,276,7579,355,9882
2024,583,899,35898,617,28156,594,27999,485,24024,352,9405,273,7852,376,10258
2024,582,967,36865,695,28851,691,28690,556,24580,336,9741,270,8122,353,10611
2024,581,951,37816,656,29507,648,29338,528,25108,345,10086,298,8420,378,10989
2024,580,979,38795,693,30200,679,30017,560,25668,345,10431,280,8700,380,11369
2024,579,960,39755,663,30863,644,30661,538,26206,353,10784,287,8987,395,11764
2024,578,972,40727,682,31545,668,31329,515,26721,369,11153,290,9277,392,12156
2024,577,1030,41757,707,32252,692,32021,550,27271,388,11541,310,9587,443,12599
2024,576,1055,42812,703,32955,693,32714,609,27880,411,11952,343,9930,406,13005
2024,575,1070,43882,719,33674,711,33425,581,28461,406,12358,339,10269,454,13459
2024,574,1054,44936,691,34365,686,34111,592,29053,401,12759,353,10622,439,13898
2024,573,1145,46081,764,35129,760,34871,617,29670,442,13201,364,10986,488,14386
2024,572,1083,47164,753,35882,745,35616,615,30285,385,13586,316,11302,435,14821
2024,571,1145,48309,770,36652,766,36382,638,30923,425,14011,349,11651,487,15308
2024,570,1101,49410,718,37370,705,37087,573,31496,437,14448,373,12024,497,15805
2024,569,1109,50519,738,38108,709,37796,586,32082,443,14891,373,12397,478,16283
2024,568,1126,51645,754,38862,714,38510,585,32667,449,15340,370,12767,506,16789
2024,567,1271,52916,829,39691,799,39309,679,33346,524,15864,425,13192,557,17346
2024,566,1231,54147,800,40491,778,40087,614,33960,517,16381,427,13619,557,17903
2024,565,1235,55382,801,41292,779,40866,651,34611,515,16896,413,14032,546,18449
2024,564,1285,56667,858,42150,842,41708,652,35263,525,17421,399,14431,579,19028
2024,563,1288,57955,839,42989,802,42510,635,35898,550,17971,436,14867,602,19630
