year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,322,1544,567841,391,280435,353,269086,454,228544,1012,286870,1137,282775,1285,355812
2025,321,1517,569358,356,280791,308,269394,453,228997,1027,287897,1154,283929,1253,357065
2025,320,1459,570817,361,281152,337,269731,467,229464,955,288852,1076,285005,1181,358246
2025,319,1581,572398,387,281539,346,270077,471,229935,1065,289917,1184,286189,1290,359536
2025,318,1526,573924,390,281929,344,270421,476,230411,1004,290921,1117,287306,1247,360783
2025,317,1487,575411,355,282284,328,270749,427,230838,1003,291924,1119,288425,1229,362012
2025,316,1478,576889,336,282620,297,271046,426,231264,1011,292935,1126,289551,1238,363250
2025,315,1459,578348,352,282972,302,271348,442,231706,993,293928,1100,290651,1188,364438
2025,314,1402,579750,341,283313,304,271652,448,232154,920,294848,1045,291696,1148,365586
2025,313,1498,581248,350,283663,327,271979,427,232581,1023,295871,1131,292827,1236,366822
2025,312,1402,582650,323,283986,300,272279,420,233001,933,296804,1060,293887,1170,367992
2025,311,1400,584050,323,284309,291,272570,439,233440,937,297741,1056,294943,1154,369146
2025,310,1390,585440,332,284641,300,272870,405,233845,953,298694,1045,295988,1135,370281
2025,309,1375,586815,317,284958,280,273150,391,234236,929,299623,1053,297041,1155,371436
2025,308,1384,588199,366,285324,344,273494,404,234640,928,300551,1004,298045,1106,372542
2025,307,1403,589602,326,285650,289,273783,415,235055,928,301479,1068,299113,1183,373725
2025,306,1397,590999,362,286012,316,274099,418,235473,902,302381,1033,300146,1160,374885
2025,305,1307,592306,327,286339,307,274406,392,235865,858,303239,963,301109,1074,375959
2025,304,1289,593595,321,286660,267,274673,421,236286,855,304094,960,302069,1043,377002
2025,303,1266,594861,282,286942,254,274927,368,236654,889,304983,971,303040,1034,378036
2025,302,1320,596181,327,287269,289,275216,397,237051,873,305856,997,304037,1077,379113
2025,301,1220,597401,310,287579,273,275489,382,237433,798,306654,905,304942,992,380105
2025,300,1291,598692,310,287889,260,275749,358,237791,891,307545,967,305909,1087,381192
2025,299,1268,599960,306,288195,266,276015,382,238173,842,308387,943,306852,1065,382257
2025,298,1297,601257,308,288503,287,276302,410,238583,853,309240,975,307827,1058,383315
2025,297,1245,602502,307,288810,266,276568,355,238938,829,310069,941,308768,1037,384352
2025,296,1253,603755,279,289089,243,276811,348,239286,874,310943,966,309734,1049,385401
2025,295,1271,605026,273,289362,250,277061,373,239659,877,311820,975,310709,1065,386466
2025,294,1273,606299,288,289650,273,277334,366,240025,864,312684,982,311691,1046,387512
2025,293,1179,607478,272,289922,243,277577,349,240374,807,313491,896,312587,970,388482
2025,292,1175,608653,268,290190,236,277813,354,240728,800,314291,901,313488,966,389448
2025,291,1146,609799,257,290447,240,278053,363,241091,761,315052,886,314374,931,390379
2025,290,1201,611000,277,290724,238,278291,344,241435,819,315871,910,315284,1015,391394
2025,289,1115,612115,269,290993,230,278521,346,241781,754,316625,840,316124,906,392300
2025,288,1151,613266,235,291228,213,278734,335,242116,812,317437,909,317033,949,393249
2025,287,1147,614413,239,291467,227,278961,354,242470,791,318228,888,317921,942,394191
2025,286,1085,615498,266,291733,226,279187,336,242806,707,318935,817,318738,903,395094
2025,285,1159,616657,242,291975,207,279394,332,243138,807,319742,912,319650,977,396071
2025,284,1182,617839,260,292235,212,279606,363,243501,803,320545,915,320565,993,397064
2025,283,1074,618913,228,292463,197,279803,297,243798,768,321313,839,321404,893,397957
2025,282,1048,619961,228,292691,197,280000,306,244104,727,322040,815,322219,871,398828
2025,281,1112,621073,280,292971,253,280253,365,244469,708,322748,816,323035,914,399742
2025,280,1067,622140,236,293207,206,280459,330,244799,721,323469,809,323844,899,400641
2025,279,1062,623202,230,293437,213,280672,318,245117,737,324206,821,324665,867,401508
2025,278,1017,624219,236,293673,193,280865,311,245428,692,324898,778,325443,841,402349
2025,277,1052,625271,241,293914,195,281060,310,245738,720,325618,814,326257,876,403225
2025,276,1049,626320,228,294142,199,281259,312,246050,705,326323,816,327073,887,404112
2025,275,1002,627322,218,294360,191,281450,276,246326,677,327000,785,327858,859,404971
2025,274,1010,628332,218,294578,198,281648,320,246646,699,327699,783,328641,812,405783
2025,273,987,629319,222,294800,197,281845,291,246937,678,328377,764,329405,809,406592
2025,272,937,630256,209,295009,173,282018,295,247232,636,329013,723,330128,775,407367
