year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2021,685,12,57,12,56,11,56,11,55,,,,,,
2021,684,4,61,4,60,4,60,4,59,,,,,,
2021,683,14,75,14,74,14,74,13,72,,,,,,
2021,682,16,91,15,89,16,90,13,85,,,,,,
2021,681,11,102,11,100,11,101,11,96,,,,,,
2021,680,14,116,13,113,13,114,13,109,,,,,,
2021,679,23,139,22,135,21,135,21,130,,,,,,
2021,678,19,158,18,153,17,152,18,148,,,,,,
2021,677,15,173,14,167,14,166,14,162,,,,,,
2021,676,24,197,23,190,21,187,21,183,,,,,,
2021,675,17,214,15,205,15,202,14,197,,,,,,
2021,674,31,245,29,234,27,229,27,224,,,,,,
2021,673,30,275,30,264,30,259,27,251,,,,,,
2021,672,28,303,27,291,26,285,28,279,,,,,,
2021,671,27,330,25,316,25,310,25,304,,,,,,
2021,670,26,356,25,341,24,334,23,327,,,,,,
2021,669,36,392,35,376,34,368,33,360,,,,,,
2021,668,31,423,31,407,31,399,29,389,,,,,,
2021,667,40,463,39,446,40,439,38,427,,,,,,
2021,666,41,504,37,483,38,477,34,461,,,,,,
2021,665,48,552,45,528,44,521,41,502,,,,,,
2021,664,47,599,43,571,44,565,42,544,,,,,,
2021,663,54,653,51,622,49,614,47,591,,,,,4,51
2021,662,56,709,54,676,54,668,53,644,,,4,52,2,53
2021,661,67,776,62,738,63,731,55,699,,,4,56,9,62
2021,660,55,831,51,789,48,779,48,747,,,5,61,10,72
2021,659,74,905,67,856,66,845,60,807,6,51,8,69,15,87
2021,658,61,966,56,912,56,901,53,860,4,55,4,73,10,97
2021,657,74,1040,67,979,68,969,68,928,6,61,6,79,7,104
2021,656,82,1122,76,1055,77,1046,76,1004,4,65,6,85,7,111
2021,655,82,1204,73,1128,74,1120,69,1073,7,72,13,98,10,121
2021,654,87,1291,81,1209,77,1197,78,1151,6,78,11,109,8,129
2021,653,102,1393,95,1304,97,1294,86,1237,7,85,8,117,13,142
2021,652,102,1495,92,1396,91,1385,84,1321,10,95,15,132,14,156
2021,651,95,1590,91,1487,89,1474,81,1402,7,102,6,138,11,167
2021,650,105,1695,97,1584,99,1573,93,1495,7,109,7,145,12,179
2021,649,117,1812,110,1694,107,1680,96,1591,9,118,10,155,19,198
2021,648,124,1936,108,1802,103,1783,101,1692,16,134,21,176,23,221
2021,647,125,2061,108,1910,108,1891,105,1797,14,148,20,196,20,241
2021,646,138,2199,127,2037,123,2014,120,1917,13,161,14,210,17,258
2021,645,135,2334,116,2153,116,2130,101,2018,17,178,27,237,28,286
2021,644,150,2484,132,2285,133,2263,125,2143,12,190,16,253,32,318
2021,643,156,2640,142,2427,137,2400,127,2270,16,206,17,270,29,347
2021,642,168,2808,147,2574,146,2546,140,2410,21,227,21,291,29,376
2021,641,162,2970,142,2716,142,2688,138,2548,19,246,22,313,23,399
2021,640,175,3145,148,2864,145,2833,137,2685,27,273,34,347,34,433
2021,639,189,3334,166,3030,163,2996,150,2835,20,293,30,377,38,471
2021,638,192,3526,170,3200,163,3159,158,2993,21,314,28,405,36,507
2021,637,227,3753,196,3396,182,3341,169,3162,36,350,48,453,50,557
2021,636,203,3956,170,3566,163,3504,166,3328,40,390,31,484,39,596
2021,635,214,4170,183,3749,185,3689,174,3502,29,419,34,518,37,633
2021,634,223,4393,189,3938,173,3862,179,3681,33,452,43,561,52,685
2021,633,207,4600,166,4104,170,4032,153,3834,38,490,47,608,47,732
2021,632,220,4820,179,4283,176,4208,169,4003,43,533,45,653,48,780
2021,631,247,5067,206,4489,203,4411,196,4199,35,568,47,700,54,834
2021,630,246,5313,195,4684,201,4612,189,4388,42,610,52,752,59,893
2021,629,265,5578,228,4912,220,4832,208,4596,39,649,41,793,59,952
2021,628,266,5844,226,5138,212,5044,214,4810,41,690,38,831,67,1019
2021,627,266,6110,216,5354,216,5260,219,5029,38,728,48,879,61,1080
2021,626,297,6407,244,5598,248,5508,235,5264,46,774,53,932,65,1145
2021,625,302,6709,254,5852,249,5757,246,5510,43,817,45,977,69,1214
2021,624,287,6996,223,6075,229,5986,222,5732,60,877,58,1035,69,1283
2021,623,297,7293,237,6312,236,6222,214,5946,55,932,65,1100,84,1367
2021,622,311,7604,239,6551,252,6474,234,6180,63,995,65,1165,80,1447
2021,621,323,7927,269,6820,262,6736,246,6426,50,1045,60,1225,82,1529
2021,620,289,8216,224,7044,230,6966,221,6647,52,1097,57,1282,83,1612
2021,619,312,8528,250,7294,247,7213,243,6890,61,1158,59,1341,76,1688
2021,618,354,8882,274,7568,259,7472,264,7154,78,1236,86,1427,101,1789
2021,617,379,9261,317,7885,307,7779,288,7442,58,1294,73,1500,94,1883
2021,616,381,9642,297,8182,293,8072,290,7732,71,1365,89,1589,103,1986
2021,615,389,10031,297,8479,274,8346,279,8011,92,1457,99,1688,126,2112
2021,614,405,10436,324,8803,321,8667,303,8314,71,1528,85,1773,111,2223
2021,613,407,10843,324,9127,304,8971,311,8625,88,1616,87,1860,107,2330
2021,612,421,11264,317,9444,316,9287,305,8930,91,1707,109,1969,125,2455
2021,611,401,11665,301,9745,304,9591,299,9229,93,1800,92,2061,114,2569
2021,610,413,12078,315,10060,325,9916,303,9532,85,1885,93,2154,118,2687
2021,609,428,12506,326,10386,323,10239,328,9860,88,1973,89,2243,130,2817
2021,608,424,12930,323,10709,320,10559,305,10165,83,2056,111,2354,130,2947
2021,607,435,13365,314,11023,309,10868,314,10479,106,2162,127,2481,135,3082
