year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2022,680,13,55,13,54,13,54,13,53,,,,,,
2022,679,8,63,8,62,8,62,6,59,,,,,,
2022,678,7,70,7,69,7,69,7,66,,,,,,
2022,677,9,79,9,78,9,78,9,75,,,,,,
2022,676,14,93,13,91,13,91,13,88,,,,,,
2022,675,10,103,10,101,10,101,9,97,,,,,,
2022,674,17,120,17,118,17,118,17,114,,,,,,
2022,673,18,138,18,136,17,135,18,132,,,,,,
2022,672,20,158,20,156,20,155,20,152,,,,,,
2022,671,20,178,19,175,19,174,18,170,,,,,,
2022,670,13,191,11,186,9,183,10,180,,,,,,
2022,669,32,223,31,217,29,212,30,210,,,,,,
2022,668,31,254,26,243,26,238,25,235,,,,,,
2022,667,38,292,37,280,36,274,32,267,,,,,6,25
2022,666,22,314,21,301,22,296,21,288,,,,,1,26
2022,665,37,351,36,337,36,332,30,318,,,,,5,31
2022,664,30,381,26,363,26,358,25,343,5,23,4,21,4,35
2022,663,34,415,31,394,31,389,30,373,4,27,3,24,3,38
2022,662,37,452,33,427,33,422,30,403,3,30,4,28,8,46
2022,661,41,493,38,465,38,460,34,437,3,33,3,31,7,53
2022,660,42,535,40,505,39,499,32,469,2,35,8,39,5,58
2022,659,47,582,46,551,44,543,45,514,2,37,2,41,2,60
2022,658,53,635,50,601,50,593,47,561,5,42,3,44,4,64
2022,657,58,693,52,653,49,642,52,613,7,49,6,50,8,72
2022,656,58,751,54,707,51,693,51,664,5,54,4,54,9,81
2022,655,59,810,52,759,51,744,50,714,7,61,8,62,9,90
2022,654,76,886,69,828,67,811,63,777,11,72,7,69,11,101
2022,653,86,972,72,900,69,880,68,845,13,85,18,87,18,119
2022,652,89,1061,79,979,77,957,70,915,13,98,9,96,19,138
2022,651,96,1157,90,1069,85,1042,84,999,6,104,11,107,12,150
2022,650,101,1258,94,1163,93,1135,87,1086,9,113,6,113,14,164
2022,649,109,1367,93,1256,94,1229,96,1182,14,127,16,129,14,178
2022,648,120,1487,110,1366,107,1336,104,1286,9,136,9,138,21,199
2022,647,108,1595,101,1467,92,1428,87,1373,10,146,15,153,19,218
2022,646,118,1713,107,1574,106,1534,98,1471,12,158,12,165,19,237
2022,645,127,1840,113,1687,113,1647,111,1582,12,170,14,179,18,255
2022,644,122,1962,103,1790,97,1744,102,1684,22,192,19,198,23,278
2022,643,145,2107,127,1917,128,1872,109,1793,22,214,17,215,32,310
2022,642,129,2236,114,2031,114,1986,108,1901,12,226,20,235,19,329
2022,641,151,2387,128,2159,127,2113,115,2016,24,250,27,262,32,361
2022,640,135,2522,119,2278,108,2221,105,2121,18,268,20,282,35,396
2022,639,147,2669,123,2401,120,2341,119,2240,19,287,27,309,33,429
2022,638,160,2829,144,2545,136,2477,132,2372,18,305,18,327,32,461
2022,637,187,3016,157,2702,151,2628,145,2517,30,335,33,360,45,506
2022,636,196,3212,166,2868,162,2790,155,2672,25,360,38,398,42,548
2022,635,173,3385,144,3012,138,2928,147,2819,30,390,31,429,29,577
2022,634,185,3570,151,3163,149,3077,141,2960,32,422,32,461,50,627
2022,633,188,3758,153,3316,147,3224,141,3101,33,455,38,499,52,679
2022,632,217,3975,183,3499,181,3405,165,3266,28,483,35,534,59,738
2022,631,243,4218,195,3694,195,3600,178,3444,43,526,53,587,65,803
2022,630,240,4458,193,3887,187,3787,180,3624,41,567,48,635,71,874
2022,629,227,4685,192,4079,184,3971,177,3801,33,600,41,676,54,928
2022,628,220,4905,183,4262,166,4137,171,3972,39,639,45,721,56,984
2022,627,259,5164,207,4469,202,4339,194,4166,45,684,61,782,68,1052
2022,626,271,5435,220,4689,217,4556,210,4376,44,728,46,828,76,1128
2022,625,260,5695,222,4911,212,4768,196,4572,38,766,42,870,70,1198
2022,624,292,5987,236,5147,222,4990,231,4803,45,811,59,929,83,1281
2022,623,278,6265,230,5377,219,5209,217,5020,42,853,52,981,74,1355
2022,622,298,6563,233,5610,226,5435,214,5234,59,912,73,1054,89,1444
