year,round,major_code,major_name,school_code,school_name,plan_count,min_rank
2025,1,17,文科试验班类(不限选考科目类专业),A001,北京大学,22,178
2025,1,56,理科试验班类(理科基础类专业),A001,北京大学,50,138
2025,1,E1,法学,A002,中国人民大学,8,731
2025,1,E3,新闻传播学类,A002,中国人民大学,2,1253
2025,1,F1,人文科学试验班,A002,中国人民大学,2,1161
2025,1,F2,人文科学试验班(历史政治学拔尖人才班),A002,中国人民大学,1,386
2025,1,H1,金融学类,A002,中国人民大学,4,892
2025,1,H4,理科试验班(金融学与数学创新人才班),A002,中国人民大学,2,787
2025,1,H5,理科试验班(金融与大数据技术创新人才班),A002,中国人民大学,3,929
2025,1,J1,经济学类,A002,中国人民大学,2,1016
2025,1,L1,工商管理类(数智化方向),A002,中国人民大学,4,1143
2025,1,M2,人力资源管理(经管交叉),A002,中国人民大学,2,995
2025,1,N1,人工智能,A002,中国人民大学,4,542
2025,1,N2,计算机类,A002,中国人民大学,9,868
2025,1,N3,计算机类(图灵计算机拔尖人才班),A002,中国人民大学,3,603
2025,1,N4,计算机类(金融与大数据技术创新人才班),A002,中国人民大学,3,758
2025,1,N6,统计学类,A002,中国人民大学,8,1030
2025,1,N7,统计学(统计与数科拔尖人才班),A002,中国人民大学,2,658
2025,1,P1,数学类,A002,中国人民大学,6,1229
2025,1,P3,数学类(财政学与数学创新人才班),A002,中国人民大学,1,1124
2025,1,P4,数学类(经济学与数学创新人才班),A002,中国人民大学,2,1033
2025,1,P6,理科试验班类(严济慈物理学拔尖人才班),A002,中国人民大学,3,1244
2025,1,P7,理科试验班(化学与生命资源),A002,中国人民大学,2,1313
2025,1,1A,临床医学类,A003,清华大学,5,109
2025,1,1B,理科试验班(理科各专业),A003,清华大学,72,140
2025,1,1C,文科试验班类(文科各专业),A003,清华大学,3,
2025,1,01,理科试验班类(詹天佑试点班信息类),A004,北京交通大学,3,5128
2025,1,02,理科试验班类(詹天佑试点班智能类),A004,北京交通大学,4,5162
2025,1,03,自动化类(智能系统与智能制造),A004,北京交通大学,27,10327
2025,1,04,电子信息类,A004,北京交通大学,36,9447
2025,1,05,计算机类,A004,北京交通大学,21,6630
2025,1,07,理科试验班,A004,北京交通大学,10,11119
2025,1,09,经济管理试验班,A004,北京交通大学,8,20007
2025,1,11,文科试验班类(经济管理人才试点班),A004,北京交通大学,4,13583
2025,1,13,新闻传播学类(卓越人才拔尖班),A004,北京交通大学,3,17908
2025,1,14,法学,A004,北京交通大学,5,11263
2025,1,15,建筑类(卓越人才拔尖班),A004,北京交通大学,4,24830
2025,1,21,交通运输(中外合作办学),A004,北京交通大学,4,27614
2025,1,22,机械电子工程(中外合作办学),A004,北京交通大学,5,27017
2025,1,23,纳米材料与技术(中外合作办学),A004,北京交通大学,5,34014
2025,1,24,交通运输类,A004,北京交通大学,14,12914
2025,1,03,应用化学,A005,北京工业大学,2,23725
2025,1,05,能源动力类,A005,北京工业大学,2,15863
2025,1,19,机器人工程,A005,北京工业大学,3,14827
2025,1,21,微电子科学与工程(实验班),A005,北京工业大学,2,12371
2025,1,28,土木类,A005,北京工业大学,7,35917
2025,1,32,建筑学,A005,北京工业大学,3,38102
2025,1,37,经济统计学,A005,北京工业大学,3,21698
2025,1,40,工商管理,A005,北京工业大学,2,26071
2025,1,43,社会学类,A005,北京工业大学,2,24231
2025,1,48,金融学(中外合作办学),A005,北京工业大学,4,36132
2025,1,49,物联网工程(中外合作办学),A005,北京工业大学,2,27714
2025,1,50,软件工程(中外合作办学),A005,北京工业大学,2,25096
2025,1,51,电子信息工程(中外合作办学),A005,北京工业大学,2,25239
2025,1,53,建筑环境与能源应用工程(建环和信计双学士学位),A005,北京工业大学,2,30926
2025,1,54,机械类,A005,北京工业大学,3,15512
2025,1,01,计算机科学与技术(拔尖学生培养计划),A006,北京航空航天大学,2,539
2025,1,02,数学与应用数学(拔尖学生培养计划),A006,北京航空航天大学,1,597
2025,1,03,工程力学(拔尖学生培养计划),A006,北京航空航天大学,2,879
2025,1,04,物理学(拔尖学生培养计划),A006,北京航空航天大学,2,1017
2025,1,06,工科试验班类(未来空天领军计划),A006,北京航空航天大学,3,452
2025,1,08,网络空间安全(卓越人才培养试验班),A006,北京航空航天大学,2,739
2025,1,09,微电子科学与工程(卓越人才培养试验班),A006,北京航空航天大学,2,636
2025,1,10,人工智能(卓越人才培养试验班),A006,北京航空航天大学,1,571
2025,1,11,理科试验班类(中法工程师学院),A006,北京航空航天大学,3,1338
2025,1,12,工科试验班类(医工交叉试验班),A006,北京航空航天大学,3,1354
2025,1,14,工科试验班类(计算与智能科学类),A006,北京航空航天大学,37,1128
2025,1,15,工科试验班类(信息科学与技术类),A006,北京航空航天大学,36,1208
2025,1,17,社会科学试验班,A006,北京航空航天大学,6,4657
2025,1,18,社会科学试验班(外语交叉学科人才培养试验班),A006,北京航空航天大学,2,4432
2025,1,21,工科试验班类(未来工程师项目制育人试验班),A006,北京航空航天大学,5,673
2025,1,27,工科试验班类(中外合作办学，中法航空试验班),A006,北京航空航天大学,7,4602
2025,1,28,工科试验班类(中外合作办学，中法未来科技试验班),A006,北京航空航天大学,7,3673
2025,1,44,工科试验班类(量子科技先锋计划),A006,北京航空航天大学,2,691
2025,1,45,工科试验班类(航空航天类),A006,北京航空航天大学,43,1512
2025,1,01,工科试验班(卓越班),A007,北京理工大学,3,723
2025,1,02,工科试验班(未来精工技术),A007,北京理工大学,10,874
2025,1,03,工科试验班(徐特立英才班),A007,北京理工大学,28,1123
2025,1,07,工科试验班(信息科学技术),A007,北京理工大学,36,1554
2025,1,08,工科试验班(电子信息实验班),A007,北京理工大学,33,1777
2025,1,H1,会计学(中外合作办学),A007,北京理工大学,2,9718
2025,1,H2,航空航天工程(中外合作办学),A007,北京理工大学,3,6119
2025,1,H3,能源与动力工程(中外合作办学),A007,北京理工大学,3,9817
2025,1,H6,车辆工程(中外合作办学),A007,北京理工大学,4,9188
2025,1,Q8,工科试验班(宇航与机电类),A007,北京理工大学,25,1818
2025,1,QA,理科试验班(理学与材料菁英班),A007,北京理工大学,7,1825
2025,1,01,材料科学与工程(高精尖班),A008,北京科技大学,2,7561
2025,1,02,理科试验班(纳米科学与工程试验班),A008,北京科技大学,2,6794
2025,1,04,工科试验班类(卓越工程人才),A008,北京科技大学,13,10953
2025,1,05,理科试验班(拔尖人才计划),A008,北京科技大学,6,7408
2025,1,07,安全工程,A008,北京科技大学,5,19808
2025,1,0A,储能科学与工程,A008,北京科技大学,5,15650
2025,1,0B,材料科学与工程,A008,北京科技大学,18,15834
2025,1,0C,材料智能技术,A008,北京科技大学,2,12119
2025,1,0D,纳米材料与技术(前沿材料与未来技术),A008,北京科技大学,2,10672
2025,1,0E,机械类,A008,北京科技大学,22,14783
2025,1,0F,能源动力类(能源、环境专业),A008,北京科技大学,14,15793
2025,1,0G,自动化类,A008,北京科技大学,13,11469
2025,1,0H,人工智能,A008,北京科技大学,11,10821
2025,1,0J,计算机类,A008,北京科技大学,8,9132
2025,1,0K,通信工程,A008,北京科技大学,7,11625
2025,1,0L,数学类,A008,北京科技大学,5,13226
2025,1,0M,应用物理学,A008,北京科技大学,3,12930
2025,1,0Q,大数据管理与应用(大数据与金融试验班),A008,北京科技大学,12,17477
2025,1,0R,工商管理类(数智管理试验班),A008,北京科技大学,5,17095
2025,1,0S,社会科学试验班,A008,北京科技大学,10,17736
2025,1,0T,外国语言文学类,A008,北京科技大学,3,19015
2025,1,0U,冶金工程(低碳智慧冶金和战略金属提取),A008,北京科技大学,5,17441
2025,1,0W,应用化学,A008,北京科技大学,2,16403
2025,1,0Y,生物技术,A008,北京科技大学,2,16562
2025,1,01,经济与金融,A009,北方工业大学,3,37441
2025,1,02,法学,A009,北方工业大学,2,22874
2025,1,03,法学(菁英班),A009,北方工业大学,1,21478
2025,1,04,知识产权,A009,北方工业大学,1,22956
2025,1,05,英语(涉外法治),A009,北方工业大学,1,40368
2025,1,06,数学与应用数学(菁英班),A009,北方工业大学,2,35965
2025,1,08,统计学,A009,北方工业大学,1,34552
2025,1,09,机械设计制造及其自动化(机器人),A009,北方工业大学,3,30618
2025,1,0A,机械设计制造及其自动化(创新实验班),A009,北方工业大学,2,29177
2025,1,0B,材料成型及控制工程(精密制造),A009,北方工业大学,2,43629
2025,1,0D,机械电子工程(无人机),A009,北方工业大学,2,30878
2025,1,0E,工业设计,A009,北方工业大学,1,44433
2025,1,0F,材料科学与工程(新材料),A009,北方工业大学,1,39606
2025,1,0H,储能科学与工程,A009,北方工业大学,2,39684
2025,1,0J,储能科学与工程(菁英班),A009,北方工业大学,1,31038
2025,1,0L,电气工程及其自动化(菁英班),A009,北方工业大学,1,26150
2025,1,0M,电气工程及其自动化(智能电网),A009,北方工业大学,2,28467
2025,1,0N,电子信息工程,A009,北方工业大学,3,27786
2025,1,0P,电子信息工程(创新实验班),A009,北方工业大学,2,25526
2025,1,0Q,通信工程,A009,北方工业大学,2,30445
2025,1,0R,通信工程(无人机),A009,北方工业大学,1,28431
2025,1,0U,微电子科学与工程(菁英班),A009,北方工业大学,1,26121
2025,1,0V,人工智能(菁英班),A009,北方工业大学,2,29502
2025,1,0X,自动化(无人机),A009,北方工业大学,2,28758
2025,1,0Y,自动化(创新实验班),A009,北方工业大学,1,26948
2025,1,0Z,计算机科学与技术,A009,北方工业大学,2,24669
2025,1,10,计算机科学与技术(创新实验班),A009,北方工业大学,1,22008
2025,1,11,信息安全,A009,北方工业大学,2,31310
2025,1,12,数字媒体技术,A009,北方工业大学,2,28248
