year,round,major_code,major_name,school_code,school_name,plan_count,min_rank
2023,3,01,临床医学,A442,山东医学高等专科学校,5,206212
2023,3,05,药学,A442,山东医学高等专科学校,2,219923
2023,3,37,临床医学,A442,山东医学高等专科学校,2,218185
2023,3,41,药学,A442,山东医学高等专科学校,1,182857
2023,3,14,空中乘务,A624,中国民用航空飞行学院,23,649292
2023,3,19,空中乘务,A851,上海东海职业技术学院,50,648418
2023,3,58,护理,A868,青岛滨海学院,1,229532
2023,3,62,现代物流管理,A868,青岛滨海学院,1,135409
2023,3,64,应用英语,A868,青岛滨海学院,7,284840
2023,3,65,应用韩语,A868,青岛滨海学院,122,528078
2023,3,66,应用日语,A868,青岛滨海学院,100,522001
2023,3,09,安全防范技术,B547,广西警察学院,3,254392
2023,3,0F,矿物加工技术,B959,鹤岗师范高等专科学校,18,294039
2023,3,10,民航空中安全保卫,C040,广州民航职业技术学院,62,634279
2023,3,46,海洋化工技术,C324,青岛职业技术学院,1,207470
2023,3,P8,商务英语(外语语种为英语，高职院校专项计划),C326,威海职业学院,1,651731
2023,3,G8,国际经济与贸易(高职院校专项计划),C440,东营职业学院,1,584581
2023,3,23,信息安全技术应用,C711,泉州纺织服装职业学院,1,314272
2023,3,68,空中乘务,C795,南昌理工学院,1,551821
2023,3,04,应用日语,C800,上海工商外国语职业学院,2,352834
2023,3,43,现代非织造技术(高职院校专项计划),C819,山东科技职业学院,16,658514
2023,3,14,音乐教育,C927,泉州华光职业学院,2,408485
2023,3,15,美术教育,C927,泉州华光职业学院,7,484733
2023,3,19,助产,C927,泉州华光职业学院,6,491477
2023,3,39,大数据技术,C927,泉州华光职业学院,2,293461
2023,3,45,智能物流技术,C927,泉州华光职业学院,3,381392
2023,3,1B,学前教育,C938,江西应用科技学院,1,281003
2023,3,47,工程造价,D247,湖北商贸学院,1,287706
2023,3,48,建筑工程技术(智能建造技术方向),D247,湖北商贸学院,10,443143
2023,3,B2,口腔医学,D320,青岛黄海学院,2,281836
2023,3,66,临床医学,D324,山东协和学院,4,276254
2023,3,67,口腔医学,D324,山东协和学院,1,265894
2023,3,48,商务英语,D359,烟台理工学院,15,358342
