year,round,major_code,major_name,school_code,school_name,plan_count,min_rank
2023,1,16,文科试验班类(文科基础类专业),A001,北京大学,25,181
2023,1,58,理科试验班类(理科基础类专业),A001,北京大学,44,110
2023,1,02,社会科学试验班(管理学科类),A002,中国人民大学,6,1218
2023,1,03,经济学类,A002,中国人民大学,11,872
2023,1,04,新闻传播学类,A002,中国人民大学,7,1305
2023,1,05,工商管理类,A002,中国人民大学,13,1093
2023,1,06,金融学类,A002,中国人民大学,6,640
2023,1,08,法学,A002,中国人民大学,8,563
2023,1,10,国际政治,A002,中国人民大学,5,1312
2023,1,11,人力资源管理(经管试验班),A002,中国人民大学,2,999
2023,1,16,理科试验班类(物理学拔尖班),A002,中国人民大学,3,1032
2023,1,18,人工智能(拔尖班),A002,中国人民大学,2,561
2023,1,20,政治学、经济学与哲学(PPE实验班),A002,中国人民大学,2,1044
2023,1,21,统计学类,A002,中国人民大学,8,689
2023,1,22,计算机类,A002,中国人民大学,6,787
2023,1,23,数学类(英才班),A002,中国人民大学,2,830
2023,1,S4,新闻传播学类(国际新闻全英文主辅修实验班),A002,中国人民大学,2,1286
2023,1,T7,财政学(财政学与数学双主学位项目),A002,中国人民大学,2,801
2023,1,Z1,计算机类(图灵实验班),A002,中国人民大学,2,629
2023,1,Z2,数学类(经济学与数学双主学位项目),A002,中国人民大学,2,738
2023,1,1A,理科试验班类(物理基础类),A003,清华大学,71,141
2023,1,1B,文科试验班类(通用基础类),A003,清华大学,1,4
2023,1,YK,临床医学类,A003,清华大学,7,88
2023,1,01,理科试验班类(詹天佑本博直升试点班),A004,北京交通大学,10,5536
2023,1,02,电子信息类(通信与控制),A004,北京交通大学,17,7066
2023,1,03,计算机类,A004,北京交通大学,8,5213
2023,1,07,电气类(含双学士学位项目),A004,北京交通大学,7,7741
2023,1,08,软件工程,A004,北京交通大学,6,5994
2023,1,09,理科试验班(数学与统计),A004,北京交通大学,4,8282
2023,1,10,理科试验班(智能光电与纳米技术),A004,北京交通大学,7,9336
2023,1,12,建筑类(建筑与规划),A004,北京交通大学,5,19694
2023,1,13,经济管理试验班,A004,北京交通大学,13,14608
2023,1,14,外国语言文学类,A004,北京交通大学,4,18831
2023,1,15,新闻传播学类,A004,北京交通大学,4,16176
2023,1,16,法学,A004,北京交通大学,4,9832
2023,1,1A,交通运输类(含双学士学位项目),A004,北京交通大学,10,10246
2023,1,1C,土木类(智慧建造与智能工程，含双学士学位项目),A004,北京交通大学,16,21151
2023,1,1E,机械类(智能制造与智能装备，含双学士学位项目),A004,北京交通大学,15,11612
2023,1,18,纳米材料与技术(中外合作办学),A004,北京交通大学,8,33862
2023,1,19,机械电子工程(中外合作办学),A004,北京交通大学,6,27879
2023,1,07,新能源科学与工程(新能源和环科双学士学位),A005,北京工业大学,2,13877
2023,1,26,机械类,A005,北京工业大学,4,14217
2023,1,28,土木类,A005,北京工业大学,7,24963
2023,1,32,建筑学,A005,北京工业大学,3,25607
2023,1,43,物联网工程(中外合作办学),A005,北京工业大学,5,29740
2023,1,44,软件工程(中外合作办学),A005,北京工业大学,6,26698
2023,1,45,电子信息工程(中外合作办学),A005,北京工业大学,4,26431
2023,1,01,工科试验班类(计算机拔尖计划),A006,北京航空航天大学,1,438
2023,1,02,理科试验班类(华罗庚数学拔尖计划),A006,北京航空航天大学,1,454
2023,1,06,工科试验班类(未来空天领军计划),A006,北京航空航天大学,4,621
2023,1,07,理科试验班类(国际卓越工程师试验班),A006,北京航空航天大学,7,1205
2023,1,08,工科试验班类(医工交叉试验班),A006,北京航空航天大学,4,1115
2023,1,10,工科试验班类(信息类),A006,北京航空航天大学,65,1106
2023,1,12,社会科学试验班,A006,北京航空航天大学,11,4052
2023,1,5A,工科试验班类(中外合作办学，中法航空试验班),A006,北京航空航天大学,8,5702
2023,1,5B,工科试验班类(航空H航天类),A006,北京航空航天大学,54,1441
2023,1,5D,理科试验班类,A006,北京航空航天大学,10,1335
2023,1,01,工科试验班(未来精工技术),A007,北京理工大学,1,713
2023,1,02,工科试验班(徐特立英才班),A007,北京理工大学,20,1178
2023,1,04,工科试验班(宇航与机电类),A007,北京理工大学,25,1960
2023,1,06,工科试验班(信息科学技术),A007,北京理工大学,49,1742
2023,1,07,工科试验班(电子信息实验班),A007,北京理工大学,34,1913
2023,1,Q6,工科试验班(智能制造与智能车辆菁英班),A007,北京理工大学,4,1988
2023,1,Q8,理科试验班(理学与材料菁英班),A007,北京理工大学,6,1872
2023,1,H1,会计学(中外合作办学),A007,北京理工大学,6,17295
2023,1,01,理科试验班,A008,北京科技大学,6,7006
2023,1,02,工科试验班类,A008,北京科技大学,9,9092
2023,1,03,理科试验班(纳米科学与工程本博贯通班),A008,北京科技大学,2,6049
2023,1,04,材料科学与工程(本博贯通高精尖班),A008,北京科技大学,2,6329
2023,1,05,人工智能,A008,北京科技大学,6,9543
2023,1,06,材料科学与工程,A008,北京科技大学,22,15055
2023,1,07,工商管理类(数智经济与管理试验班),A008,北京科技大学,8,15402
2023,1,10,能源动力类(能源、环境专业),A008,北京科技大学,14,13397
2023,1,11,自动化类,A008,北京科技大学,11,10602
2023,1,12,计算机类,A008,北京科技大学,8,7188
2023,1,13,通信工程,A008,北京科技大学,6,10198
2023,1,15,储能科学与工程,A008,北京科技大学,6,13966
2023,1,17,安全工程,A008,北京科技大学,2,11815
2023,1,19,数学类,A008,北京科技大学,6,10766
2023,1,20,应用物理学,A008,北京科技大学,3,10902
2023,1,21,应用化学,A008,北京科技大学,5,15625
2023,1,22,生物技术,A008,北京科技大学,4,13531
2023,1,24,社会科学试验班,A008,北京科技大学,11,16132
2023,1,25,外国语言文学类,A008,北京科技大学,8,28717
2023,1,26,管理科学与工程类(大数据管理试验班),A008,北京科技大学,5,12295
2023,1,28,机械类,A008,北京科技大学,21,13865
2023,1,2A,冶金工程,A008,北京科技大学,9,18582
2023,1,01,经济与金融,A009,北方工业大学,1,32124
2023,1,02,国际经济与贸易,A009,北方工业大学,2,40518
2023,1,03,法学,A009,北方工业大学,2,24201
2023,1,04,知识产权,A009,北方工业大学,2,24142
2023,1,05,英语,A009,北方工业大学,2,41773
2023,1,06,信息与计算科学,A009,北方工业大学,2,27580
2023,1,09,机械设计制造及其自动化(创新实验班),A009,北方工业大学,3,28657
2023,1,0B,机械电子工程(智能制造与新能源汽车),A009,北方工业大学,4,31591
2023,1,0C,工业设计,A009,北方工业大学,1,33378
2023,1,0F,储能科学与工程,A009,北方工业大学,1,35066
2023,1,0G,电气工程及其自动化,A009,北方工业大学,5,25305
2023,1,0H,电子信息工程,A009,北方工业大学,2,24620
2023,1,0J,电子信息工程(理工科实验班),A009,北方工业大学,2,21584
2023,1,0K,通信工程,A009,北方工业大学,3,26097
2023,1,0N,人工智能,A009,北方工业大学,2,25698
2023,1,0Q,自动化(创新实验班),A009,北方工业大学,2,26169
2023,1,0R,计算机科学与技术,A009,北方工业大学,2,21873
2023,1,0S,计算机科学与技术(创新实验班),A009,北方工业大学,2,20672
2023,1,0T,信息安全,A009,北方工业大学,2,27987
2023,1,10,智能建造,A009,北方工业大学,3,39245
2023,1,12,智慧交通,A009,北方工业大学,2,29393
2023,1,13,建筑学,A009,北方工业大学,1,24909
2023,1,14,城乡规划,A009,北方工业大学,2,39017
2023,1,1N,建筑学(海外交换),A009,北方工业大学,1,65960
2023,1,0W,数据科学与大数据技术(中外合作办学),A009,北方工业大学,3,53766
2023,1,0Y,土木工程(中外合作办学),A009,北方工业大学,2,69261
2023,1,01,工科试验班(宏德书院),A010,北京化工大学,5,14573
2023,1,02,化学(基础拔尖),A010,北京化工大学,3,18196
2023,1,03,法学(卓越实验班),A010,北京化工大学,2,14167
2023,1,07,计算机类,A010,北京化工大学,15,14050
2023,1,08,理科试验班(数学、物理电子与管理),A010,北京化工大学,15,17378
2023,1,10,英语,A010,北京化工大学,2,25605
2023,1,17,化学工程与工艺(化工、大数据双学士学位),A010,北京化工大学,4,16573
2023,1,18,生物工程(生工、大数据双学士学位),A010,北京化工大学,4,17934
2023,1,19,化学(化学、生工双学士学位),A010,北京化工大学,2,19166
2023,1,20,材料科学与工程(材料、大数据双学士学位),A010,北京化工大学,2,18759
2023,1,21,工科试验班(绿色化工与生物医药),A010,北京化工大学,22,21529
2023,1,23,工科试验班(先进材料与绿色化学),A010,北京化工大学,23,22987
2023,1,25,自动化类(高端装备与智能制造),A010,北京化工大学,31,17077
2023,1,27,工商管理类(新文科经管法),A010,北京化工大学,17,24150
2023,1,13,化工与制药类(中外合作办学)(中法精英工程教育试验班),A010,北京化工大学,7,37573
2023,1,14,生物工程(中外合作办学)(中美双学位、生物过程工程),A010,北京化工大学,5,40019
2023,1,15,机械设计制造及其自动化(中外合作办学)(中美双学位、机器人方向),A010,北京化工大学,6,38485
2023,1,16,工业设计(中外合作办学)(中意设计双学位),A010,北京化工大学,2,38219
2023,1,05,会计学(智能会计),A011,北京工商大学,6,27475
2023,1,09,物流管理与工程类,A011,北京工商大学,5,45146
2023,1,0A,法学,A011,北京工商大学,5,24824
2023,1,0M,香料香精技术与工程,A011,北京工商大学,5,55782
2023,1,0N,材料类,A011,北京工商大学,5,56515
2023,1,0P,食品科学与工程类,A011,北京工商大学,6,46831
2023,1,0Q,应用化学(日化方向),A011,北京工商大学,5,53690
