year,round,major_code,major_name,school_code,school_name,plan_count,min_rank
2024,1,17,文科试验班类(文科基础类专业),A001,北京大学,22,157
2024,1,58,理科试验班类(理科基础类专业),A001,北京大学,44,125
2024,1,01,人文科学试验班,A002,中国人民大学,2,781
2024,1,07,新闻传播学类,A002,中国人民大学,3,1348
2024,1,08,法学,A002,中国人民大学,8,733
2024,1,10,国际政治,A002,中国人民大学,2,1649
2024,1,11,人力资源管理(经管交叉试验班，含法学与劳动治理实验班),A002,中国人民大学,2,1056
2024,1,12,理科试验班(化学与生命资源拔尖班),A002,中国人民大学,1,997
2024,1,13,理科试验班类(物理学拔尖班，含严济慈物理学英才班),A002,中国人民大学,2,970
2024,1,14,人工智能(拔尖班),A002,中国人民大学,2,455
2024,1,16,统计学类,A002,中国人民大学,8,801
2024,1,17,计算机类(英才班),A002,中国人民大学,9,763
2024,1,18,数学类(英才班),A002,中国人民大学,5,889
2024,1,G1,社会科学试验班(管理学科类),A002,中国人民大学,2,1646
2024,1,G2,经济学类,A002,中国人民大学,9,1288
2024,1,G3,工商管理类(数智化方向，含双学位项目),A002,中国人民大学,8,1498
2024,1,G4,金融学类,A002,中国人民大学,6,954
2024,1,S1,计算机类(图灵实验班),A002,中国人民大学,2,526
2024,1,S2,财政学(财政学与数学双主学位项目),A002,中国人民大学,2,1039
2024,1,S3,金融学(金融学与数学双主学位项目),A002,中国人民大学,2,576
2024,1,S4,金融学(金融学与大数据技术双主学位项目),A002,中国人民大学,1,640
2024,1,S9,工商管理类(数科与营销管理双主学位项目),A002,中国人民大学,2,1280
2024,1,T5,社会科学试验班(统计学与公共管理学双主学位项目),A002,中国人民大学,2,1428
2024,1,1A,理科试验班类(物理基础类),A003,清华大学,69,124
2024,1,1B,文科试验班类(通用基础类),A003,清华大学,2,
2024,1,1C,临床医学类,A003,清华大学,5,83
2024,1,01,理科试验班类(詹天佑试点班信息类),A004,北京交通大学,3,5075
2024,1,02,理科试验班类(詹天佑试点班智能类),A004,北京交通大学,4,5725
2024,1,03,自动化类,A004,北京交通大学,7,8747
2024,1,04,电子信息类,A004,北京交通大学,15,8116
2024,1,05,计算机类,A004,北京交通大学,7,5832
2024,1,09,电气类,A004,北京交通大学,14,8596
2024,1,10,理科试验班(数学与统计),A004,北京交通大学,4,8942
2024,1,11,理科试验班(智能光电与纳米技术),A004,北京交通大学,7,9678
2024,1,12,软件工程,A004,北京交通大学,7,7068
2024,1,14,系统科学与工程(智能交通系统),A004,北京交通大学,3,12169
2024,1,15,建筑类(建筑与规划),A004,北京交通大学,3,23420
2024,1,16,经济管理试验班(经济类、管科类),A004,北京交通大学,10,17935
2024,1,17,文科试验班类(经管学院工商类),A004,北京交通大学,4,13419
2024,1,18,外国语言文学类,A004,北京交通大学,5,21657
2024,1,19,新闻传播学类,A004,北京交通大学,4,18358
2024,1,20,法学,A004,北京交通大学,5,11294
2024,1,33,交通运输类,A004,北京交通大学,14,11927
2024,1,35,土木类(智慧建造与智能工程),A004,北京交通大学,3,21228
2024,1,37,机械类(智能制造与智能装备),A004,北京交通大学,14,12634
2024,1,31,纳米材料与技术(中外合作办学),A004,北京交通大学,6,34527
2024,1,32,机械电子工程(中外合作办学),A004,北京交通大学,6,26002
2024,1,05,能源动力类,A005,北京工业大学,3,15345
2024,1,26,机械类,A005,北京工业大学,4,14947
2024,1,28,土木类,A005,北京工业大学,7,36700
2024,1,32,建筑学,A005,北京工业大学,5,35751
2024,1,35,经济统计学,A005,北京工业大学,2,23443
2024,1,52,软件工程(中外合作办学),A005,北京工业大学,2,26240
2024,1,53,物联网工程(中外合作办学),A005,北京工业大学,5,30767
2024,1,54,电子信息工程(中外合作办学),A005,北京工业大学,4,26903
2024,1,55,金融学(中外合作办学),A005,北京工业大学,4,36192
2024,1,01,计算机科学与技术(拔尖学生培养计划),A006,北京航空航天大学,2,442
2024,1,02,数学与应用数学(拔尖学生培养计划),A006,北京航空航天大学,1,648
2024,1,03,工程力学(拔尖学生培养计划),A006,北京航空航天大学,2,729
2024,1,04,物理学(拔尖学生培养计划),A006,北京航空航天大学,2,856
2024,1,06,工科试验班类(未来空天领军计划),A006,北京航空航天大学,3,511
2024,1,07,理科试验班类(中法工程师学院),A006,北京航空航天大学,3,1222
2024,1,08,工科试验班类(医工交叉试验班),A006,北京航空航天大学,5,1307
2024,1,10,网络空间安全(卓越人才培养试验班),A006,北京航空航天大学,2,719
2024,1,11,微电子科学与工程(卓越人才培养试验班),A006,北京航空航天大学,2,622
2024,1,12,人工智能(卓越人才培养试验班),A006,北京航空航天大学,1,524
2024,1,14,工科试验班类(信息类),A006,北京航空航天大学,68,1135
2024,1,16,社会科学试验班,A006,北京航空航天大学,13,5011
2024,1,5J,工科试验班类(航空H航天类),A006,北京航空航天大学,45,1411
2024,1,5L,理科试验班类,A006,北京航空航天大学,10,1349
2024,1,2B,工科试验班类(中外合作办学，中法航空试验班),A006,北京航空航天大学,7,5003
2024,1,01,工科试验班(未来精工技术),A007,北京理工大学,10,834
2024,1,02,工科试验班(徐特立英才班),A007,北京理工大学,35,1175
2024,1,03,工科试验班(拔尖计划),A007,北京理工大学,4,1205
2024,1,06,工科试验班(信息科学技术),A007,北京理工大学,35,1644
2024,1,07,工科试验班(电子信息实验班),A007,北京理工大学,30,1785
2024,1,Q6,工科试验班(宇航与机电类),A007,北京理工大学,20,1824
2024,1,Q8,理科试验班(理学与材料菁英班),A007,北京理工大学,6,1520
2024,1,H1,会计学(中外合作办学),A007,北京理工大学,2,10574
2024,1,01,理科试验班,A008,北京科技大学,6,7757
2024,1,02,工科试验班类,A008,北京科技大学,10,9448
2024,1,03,理科试验班(纳米科学与工程试验班),A008,北京科技大学,2,6177
2024,1,04,材料科学与工程(高精尖班),A008,北京科技大学,3,7142
2024,1,05,人工智能,A008,北京科技大学,6,9751
2024,1,06,材料科学与工程,A008,北京科技大学,21,16027
2024,1,08,大数据管理与应用(大数据与金融试验班),A008,北京科技大学,8,15524
2024,1,11,自动化类,A008,北京科技大学,12,10856
2024,1,12,计算机类,A008,北京科技大学,8,8022
2024,1,13,通信工程,A008,北京科技大学,7,10502
2024,1,14,冶金工程,A008,北京科技大学,7,18376
2024,1,15,储能科学与工程,A008,北京科技大学,6,15096
2024,1,17,安全工程,A008,北京科技大学,4,15679
